objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Dicey Devices","396005","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","138085813","0","6.25","0","0","0","thing","Dicey Devices","1","4","90","90","45","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dicey Peaks","221198","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","94321973","5.56066","6.25325","1.375","11762","721","thing","Dicey Peaks","2","6","50","50","20","2017","2,3,4,5,6","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dicey Roads: Explorers","424350","0","0","0","0","0","0","0","1","0","1","1","3","","","","","","113515728","0","0","0","0","31","thing","Dicey Roads: Explorers","1","99","45","45","20","2024","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dicht dran","137933","0","0","0","0","0","0","0","1","0","1","1","3","","","","","","108708246","5.59496","6.40331","1.45","9352","477","thing","Dicht dran","3","5","20","20","20","2013","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dicy Cards","420793","0","1","0","0","0","0","0","1","0","1","1","3","","","","","","118998726","5.46812","5.22485","1.1429","28379","82","thing","Dicy Cards","2","4","15","15","15","2024","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dicycle Race","301262","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","69832275","5.55884","6.44923","1","11917","341","thing","Dicycle Race","2","6","20","20","15","2020","2,3,4,5,6","2,3","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Die of the Dead","292363","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","93729666","5.709","6.88644","1.9286","5928","1079","thing","Die of the Dead","2","5","50","50","30","2021","2,3,4,5","3,4","8–12","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"DIG","197178","5","4","2","1","0","0","0","0","0","0","0","1","#micro","","","","","61357604","5.73417","6.3575","1.24","5523","3093","thing","DIG","2","4","10","10","10","2017","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","859094005145","3.56","USD","","","2019-05-27","Barnes & Noble","1","","","2019-05-27","","","",""
"Dig Dog Dig","270377","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","89666901","0","6.51562","1","0","49","thing","Dig Dog Dig","2","4","10","10","10","2018","2,3,4","3","","","","","","","","standalone","","","","","","","","","","","","","","",""
"DIG UP Adventure","370139","0","1","0","0","0","0","0","1","0","0","0","3","","","","","","105939107","5.4667","5.15204","1.25","28434","57","thing","DIG UP Adventure","2","4","30","30","15","2022","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Digsaw","412856","0","0","0","0","0","0","0","1","0","1","1","4","","","","","","117439615","5.52827","6.39231","1.3333","16533","151","thing","Digsaw","1","6","30","30","20","2024","2,3,4,5,6","2","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Diner","154902","4.5","1","0","0","0","0","0","0","1","0","0","3","","","","","","103435173","5.58663","6.07219","1.2381","9848","1086","thing","Diner","2","4","15","15","15","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","6.99","USD","","","2023-05-29","Black & Read","1","","","2023-05-29","","","",""
"Dingo Disc","319598","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","134070033","0","6.34375","1","0","38","thing","Dingo Disc","2","6","30","30","30","2013","","","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dingo's Dreams","182116","6","0","0","0","0","0","0","1","0","0","0","1","","","","","","81556613","5.66784","6.02736","1.087","6804","1290","thing","Dingo's Dreams","2","4","30","30","20","2016","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dinner in Paris","320819","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","91647132","5.89994","6.74778","2.16","3761","1980","thing","Dinner in Paris","2","4","60","60","40","2020","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dino Dynasty","416530","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","117791723","0","7.91176","3","0","39","thing","Dino Dynasty","1","6","60","60","30","2025","2,3,4,5,6","4","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dino Garden","447999","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","133692503","0","7.5","0","0","41","thing","Dino Garden","1","4","90","90","60","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dino Hunt Dice","125368","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","108521545","5.5432","5.79886","1.0625","13745","1041","thing","Dino Hunt Dice","2","8","10","10","10","2012","2,3,4,5","3,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dinosaur Island","221194","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","112062542","7.23836","7.53796","3.0476","269","27676","thing","Dinosaur Island","1","4","120","120","90","2017","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dinosaur Island: Rawr 'n Write","318009","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","94733395","6.89767","7.67573","2.8407","611","10902","thing","Dinosaur Island: Rawr 'n Write","1","4","45","45","30","2021","1,2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dinosaur Tea Party","247160","4","0","0","0","0","0","0","1","0","0","1","4","","","","","","58842284","5.87461","6.42526","1.1923","3941","3076","thing","Dinosaur Tea Party","3","5","30","30","15","2018","3,4,5","4,5","5+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dinosaur World","317457","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","112062532","6.65679","7.32552","3.2645","966","11145","thing","Dinosaur World","2","4","120","120","60","2021","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dirt & Dust","432715","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","136637311","5.57277","7.22766","3.3571","10757","304","thing","Dirt & Dust","1","4","90","90","60","2025","1,2,3,4","3,4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Disc Cards","377720","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","103894655","0","9","0","0","1","thing","Disc Cards","1","6","90","90","30","2023","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Discordia","360206","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","98612570","6.27024","7.45706","3","1914","2627","thing","Discordia","1","4","90","90","60","2022","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Discoveries: The Journals of Lewis & Clark","171669","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","81556360","6.538","7.01466","2.3544","1203","7209","thing","Discoveries: The Journals of Lewis & Clark","2","4","60","60","60","2015","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","Top ten recommendation","","","","","",""
"Disney Jungle Cruise Adventure Game","303650","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","80153408","5.50537","5.67499","1.2778","23262","2153","thing","Disney Jungle Cruise Adventure Game","2","4","60","60","45","2020","2,3,4","3","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Robin Hood: Sheriff of Nottingham Game","396607","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","108828149","5.61353","7.06141","1.8333","8472","950","thing","Disney Robin Hood: Sheriff of Nottingham Game","3","5","45","45","45","2023","3,4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney The Muppet Christmas Carol: Spirit of Giving Game","402220","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","113520744","5.52479","6.71132","1","17397","213","thing","Disney The Muppet Christmas Carol: Spirit of Giving Game","2","4","20","20","20","2023","2,3,4","","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villainous: The Worst Takes it All","256382","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","53759062","6.69015","6.92103","2.4906","909","52284","thing","Disney Villainous: The Worst Takes it All","2","6","120","120","45","2018","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villains: The Card Game","366753","6.8","1","0","0","0","0","0","1","0","1","1","3","","","","","","105898341","5.58424","6.46058","1.1667","9987","716","thing","Disney Villains: The Card Game","3","6","25","25","15","2022","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Distant Suns","354425","0","0","0","0","0","0","0","1","0","1","1","4","","","","","","106342626","5.60003","6.57053","1.7857","9093","799","thing","Distant Suns","2","4","30","30","15","2022","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Distilled","295895","0","1","0","0","0","0","0","1","0","0","1","2","","","","","","110638181","7.21637","7.7747","3.0217","285","13553","thing","Distilled","1","5","150","150","30","2023","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"District Noir","216497","0","2","0","0","0","0","0","1","0","1","1","4","","","","","","100141495","6.25142","6.97629","1.3067","1972","4787","thing","District Noir","2","2","20","20","10","2016","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dittle: Dice Battle","388583","0","0","0","0","0","0","0","0","0","1","1","3","","","","","","111149281","0","5.63636","2","0","41","thing","Dittle: Dice Battle","2","2","15","15","10","2022","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dive","304324","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","84038494","5.85907","6.52049","1.45","4088","2883","thing","Dive","1","4","30","30","20","2021","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Divinity Derby","218580","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","103479231","5.74608","6.83643","1.9167","5330","1050","thing","Divinity Derby","3","6","90","90","45","2017","3,4,5,6","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Divvy Dice","297895","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","97944328","5.97175","6.73738","2.0811","3259","3261","thing","Divvy Dice","1","4","30","30","30","2020","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit","39856","5.5","0","2","1","1","0","0","0","0","0","0","3","#large","","","","","53697817","7.07285","7.18816","1.1934","415","104382","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","9782914849654","21.59","USD","","","2018-04-29","Toys ""R"" Us","1","20% Off Item","","2018-04-29","","","",""
"Dizzle","269199","0","0","0","0","0","0","0","0","0","1","0","1","#write","","","","","67498933","6.01166","6.79983","1.3125","3018","3074","thing","Dizzle","1","4","30","30","30","2019","1,2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","Pouch","","","","",""
"Djinn","384150","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","110942939","5.9701","7.26928","2.9189","3273","1666","thing","Djinn","1","4","90","90","60","2023","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Do You Know Me?","296940","4","0","0","0","0","0","0","0","1","0","0","3","","","","","","72204418","5.50329","5.79786","1","23848","318","thing","Do You Know Me?","2","8","90","90","30","2019","3,4,5,6","5","16","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dobro","357991","6.5","5","0","0","0","1","0","0","0","1","1","4","","","","","","107433988","5.59334","6.3002","1.0476","9430","723","thing","Dobro","2","6","20","20","15","2022","3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dodos Riding Dinos","254683","5.8","2","0","0","0","0","0","1","0","0","0","1","","","","","","92584438","6.14528","7.52016","1.6667","2391","3283","thing","Dodos Riding Dinos","1","8","20","20","20","2021","2,3,4,5,6,7,8","4,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dodos Riding Dinos: Dodo Dash","363278","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","116754160","5.67649","7.63497","1.75","6613","1332","thing","Dodos Riding Dinos: Dodo Dash","1","6","60","60","20","2024","3,4,5,6","5,6","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dodos Riding Dinos: First Race","420975","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","120219547","0","8","1","0","13","thing","Dodos Riding Dinos: First Race","2","6","20","20","15","2025","4,5,6","5,6","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dog Dice","9589","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","80769440","5.49236","5.20192","1","26305","139","thing","Dog Dice","2","4","10","10","10","1997","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dog Lover","344839","8","12","2","1","0","0","0","0","0","0","0","1","#medium","","","","","85074460","5.94539","6.72244","1.8276","3430","2661","thing","Dog Lover","2","4","30","30","30","2021","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","729220071019","17.99","USD","","","2022-02-12","Night Owl","1","","","2022-02-20","","","",""
"Dog Park","331401","0","3","0","0","0","0","0","1","0","0","0","1","","","","","","89641867","6.31231","6.89719","2.1679","1781","8332","thing","Dog Park","1","4","80","80","40","2022","1,2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dogfight!: Rule The Skies in 20 Minutes!","369154","6","1","0","0","0","1","1","0","0","1","1","3","","","","","","98616448","5.67426","6.79379","2","6668","965","thing","Dogfight!: Rule The Skies in 20 Minutes!","1","2","20","20","20","2023","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dogs","148083","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","81272347","5.71595","6.86473","2.375","5807","1024","thing","Dogs","2","4","60","60","60","2013","2,3,4","3,4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dogs of War","158435","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","120893049","6.71915","7.52626","2.6328","859","4547","thing","Dogs of War","3","5","75","75","75","2014","4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dollars to Donuts","307862","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","87864688","5.74199","6.94858","1.7778","5376","1022","thing","Dollars to Donuts","1","4","45","45","30","2021","1,2,3,4","3","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dom Pierre","332853","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","89494887","5.65565","6.84987","3.7917","7101","948","thing","Dom Pierre","2","4","120","120","60","2022","2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion","36218","9","1","3","0","0","0","0","0","1","0","0","3","","","","","","59457716","7.47533","7.59708","2.3458","142","127580","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","Tiffany","","Sold for 20 on Facebook Marketplace","Sold","","","","",""
"Dominion (Second Edition)","209418","8","10","3","1","0","0","0","0","0","0","0","3","#large","Deck Building","","","","53698172","7.39376","7.82701","2.1749","178","18415","thing","Dominion (Second Edition)","2","4","30","30","30","2016","2,3,4","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","655132005319","32.12","USD","","","2018-08-07","Walmart","1","","","2018-08-13","","","",""
"Dominion: Adventures","171915","8","0","0","0","0","0","0","1","1","0","0","1","","","","","","70153599","7.0082","8.10152","2.7059","0","11257","thing","Dominion: Adventures","2","4","30","30","30","2015","2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","26.15","USD","","","2021-09-20","Target","1","B2G1","Returned","2021-09-24","","","",""
"Dominion: Alchemy","66098","7","0","3","0","0","0","0","0","1","0","0","1","","","","","","70153592","6.58931","6.92186","2.4474","0","20954","thing","Dominion: Alchemy","2","4","30","30","30","2010","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","10","USD","","","2022-01-16","Facebook Marketplace","1","","","2022-01-16","","","",""
"Dominion: Allies","347307","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","85792779","6.03355","8.2364","2.25","0","2847","thing","Dominion: Allies","2","4","60","60","30","2022","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Cornucopia","90850","7","0","0","0","0","0","0","0","0","0","0","1","","","","","","70153596","7.04758","7.6726","2.3878","0","15383","thing","Dominion: Cornucopia","2","4","30","30","30","2011","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Dark Ages","125403","6","0","0","0","0","0","0","1","0","0","0","1","","","","","","70153593","7.29878","7.97917","2.6986","0","18290","thing","Dominion: Dark Ages","2","4","30","30","30","2012","2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Empires","192951","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","70153598","6.99594","8.35266","2.7561","0","8960","thing","Dominion: Empires","2","4","30","30","30","2016","2,3,4","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Guilds","137166","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","70153602","6.8454","7.84963","2.4831","0","9742","thing","Dominion: Guilds","2","4","30","30","30","2013","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Hinterlands","104557","7","0","3","1","0","0","0","0","0","0","0","1","#large","Deck Building","","","","70153597","7.25881","7.93181","2.5385","0","17463","thing","Dominion: Hinterlands","2","4","30","30","30","2011","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","655132004541","10","USD","","","2022-01-16","Facebook Marketplace","1","","","2022-01-16","","","",""
"Dominion: Intrigue","40834","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","55487282","7.50438","7.68689","2.4117","129","50733","thing","Dominion: Intrigue","2","6","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion: Intrigue (Second Edition)","209419","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","70153613","6.66116","8.12523","2.2444","0","6302","thing","Dominion: Intrigue (Second Edition)","2","4","30","30","30","2016","2,3,4","2,3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Menagerie","298055","0","0","0","0","0","0","0","1","1","0","0","1","","","","","","70153618","6.35892","8.29877","2.619","0","4249","thing","Dominion: Menagerie","2","4","30","30","30","2020","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","26.18","USD","","","2021-09-20","Target","1","B2G1","Returned","2021-09-24","","","",""
"Dominion: Nocturne","232452","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","70153608","6.43893","7.86105","2.9032","0","6022","thing","Dominion: Nocturne","2","4","30","30","30","2017","2,3,4","2,3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Plunder","369536","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","100572454","6.01752","8.39952","2.3333","0","2448","thing","Dominion: Plunder","2","4","30","30","30","2022","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Prosperity","66690","7","0","3","1","0","0","0","0","0","0","0","1","#large","Deck Building","","","","70153590","7.8263","8.22421","2.4723","0","34568","thing","Dominion: Prosperity","2","4","30","30","30","2010","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","655132004220","","","","","","Tiffany Allen","1","","","","","","",""
"Dominion: Renaissance","257673","7","1","0","0","0","0","0","0","0","0","0","1","","","","","","70153609","6.57262","8.28099","2.4583","0","5918","thing","Dominion: Renaissance","2","4","30","30","30","2018","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Rising Sun","420298","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","119165426","5.75261","8.34671","2","0","1196","thing","Dominion: Rising Sun","2","4","30","30","30","2024","2,3,4","2","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Seaside","51811","7","0","3","1","0","0","0","0","0","0","0","1","#large","Deck Building","","","","70153585","7.65809","8.01408","2.4912","0","35302","thing","Dominion: Seaside","2","4","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","655132004046","10","USD","","","2022-01-16","Facebook Marketplace","1","","","2022-01-16","","","",""
"Dominion: Seaside (Second Edition)","355958","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","94190213","5.94686","8.25768","2.25","0","1839","thing","Dominion: Seaside (Second Edition)","2","4","30","30","30","2022","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Don't Break the Ice","4888","3.5","3","1","1","0","0","0","0","0","0","0","3","#large","Dexterity","","","","53700166","5.19785","4.79037","1.125","29364","2491","thing","Don't Break the Ice","2","4","20","20","20","1968","2,3,4","2","3+","No necessary in-game text","","","","","","standalone","032244047848","","","10","USD","","Parents","1","","","","","","",""
"Don't Get Got!","262547","5","3","0","0","0","0","0","0","1","0","0","3","","","","","","95241852","6.14937","6.96398","1.0811","2371","5417","thing","Don't Get Got!","2","10","0","0","0","2018","4,5,6,7,8,9,10","6,7,8","10+","Unplayable in another language","","","","","","standalone","","7.5","USD","","","2022-06-23","BGG","1","","","2022-06-23","","","",""
"Don't Get Got!: Shut Up & Sit Down Special Edition","322543","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","93708648","5.82638","7.25185","1.2","4386","1995","thing","Don't Get Got!: Shut Up & Sit Down Special Edition","2","10","1440","1440","30","2021","4,5,6,7,8,9,10","8","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Don't L.L.A.M.A. Dice","325853","5","3","0","1","0","0","0","1","0","0","0","3","","","","","","94341980","5.93219","6.57002","1.129","3524","3467","thing","Don't L.L.A.M.A. Dice","2","6","20","20","20","2021","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","2025-05-17","Black & Read","","Free with trade in to black and 15 dollar combo
","","2025-05-17","","","",""
"Don't Mess with Cthulhu","170587","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","80314709","6.0507","6.83606","1.1538","2836","2446","thing","Don't Mess with Cthulhu","4","6","30","30","1","2014","4,5,6","6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Don't Skip Leg Day","401767","0","0","0","0","0","0","0","1","0","0","1","2","","","","","","123163467","5.5126","6.33771","1","20985","113","thing","Don't Skip Leg Day","3","6","25","25","15","2024","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Don't You Forget It","4069","0","0","0","0","0","0","0","1","0","1","0","1","","","","","","118156817","5.50222","5.50633","1","24143","280","thing","Don't You Forget It","2","6","30","30","30","1983","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Donald Duck in Happy Camper","426476","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","129635010","5.51448","6.31429","2","20424","136","thing","Donald Duck in Happy Camper","2","4","45","45","30","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Doni Pepperoni","382485","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","117593027","0","5.62","1","0","36","thing","Doni Pepperoni","3","6","30","30","20","2023","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Donut Shop","332170","6.5","1","0","0","0","0","0","0","0","0","0","3","","","","","","92695857","5.7039","7.03673","1.7143","6024","931","thing","Donut Shop","2","4","40","40","20","2024","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Doodle City","162107","0","0","0","0","0","0","0","0","0","1","0","1","#write","","","","","92576319","5.721","6.27081","1.3889","5724","1288","thing","Doodle City","1","6","30","30","30","2014","1,2,3,4,5,6","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","Pouch","","","","","",""
"Doodle Dash","334379","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","88897761","5.97629","7.3045","1","3238","1528","thing","Doodle Dash","3","7","20","20","15","2021","4,5,6,7","5,6,7","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Doodle Disaster","449964","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","134094463","0","6","0","0","0","thing","Doodle Disaster","2","6","80","80","30","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Doodle Dungeon","299939","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","83303932","5.5779","6.25104","2","10382","940","thing","Doodle Dungeon","2","4","60","60","45","2020","2,3","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Doodle Islands","247643","0","0","0","0","0","0","0","1","0","1","0","3","","","","","","100573800","5.54172","6.50213","1.75","13951","243","thing","Doodle Islands","1","5","40","40","40","2018","2,3,4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Doomlings","324413","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","90425948","5.99994","6.77729","1.6724","3098","7001","thing","Doomlings","2","6","45","45","20","2022","2,3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Doozy Dice","374125","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","107469903","0","6.19091","1","0","61","thing","Doozy Dice","2","4","15","15","15","2022","3,4","3","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dorfromantik: Sakura","424774","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","123552054","6.30143","8.0695","1.9286","1807","3641","thing","Dorfromantik: Sakura","1","6","90","90","30","2024","1,2,3","2","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dorfromantik: The Board Game","370591","7","9","0","1","0","0","0","0","0","0","0","3","","","","","","99388692","7.15195","7.60713","1.6383","340","21404","thing","Dorfromantik: The Board Game","1","6","60","60","30","2022","1,2,3","1,2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","4250231738296","21.79","USD","","","2024-08-30","Game Nerdz","1","","","2024-09-21","","","",""
